TimeOfDay,Price,10minSD,10minAverage,Bollinger,Volume
13:48:04,546.34,0.42396592721351256,546.0127272727274,0,"28,245,381 "
13:49:03,546.62,0.4203953275251265,546.1163636363636,0,"28,342,973 "
13:50:03,546.44,0.3287517086653908,546.2236363636363,0,"28,385,366 "
13:51:03,546.54,0.260428762804457,546.3136363636363,0,"28,463,473 "
13:52:03,546.29,0.18830694127467754,546.3636363636363,0,"28,531,926 "
13:53:03,546.47,0.1336085314245311,546.4118181818181,0,"28,581,133 "
13:54:03,546.51,0.09551945844773252,546.4481818181819,0,"28,651,343 "
13:55:03,546.52,0.09674880143191099,546.4581818181819,0,"28,727,218 "
13:56:03,546.83,0.1432272655145629,546.4836363636364,1,"28,803,104 "
13:57:03,546.99,0.2001280581763177,546.5381818181818,1,"28,949,976 "
13:58:03,546.84,0.2096080561192386,546.5809090909091,0,"29,025,678 "
13:59:03,546.99,0.2244589454261573,546.64,0,"29,097,605 "
14:00:03,546.96,0.24227912323129494,546.670909090909,0,"29,176,541 "
14:01:03,547.26,0.2825649928894559,546.7454545454545,0,"29,325,422 "
14:02:03,547.38,0.32676981561444435,546.8218181818182,0,"29,417,253 "
14:03:03,547.55,0.3408084699991086,546.9363636363637,0,"29,546,353 "
14:04:03,547.6,0.35477148971887806,547.039090909091,0,"29,674,515 "
14:05:03,547.74,0.36410424444991235,547.1509090909091,0,"29,765,299 "
14:06:03,547.9,0.36284914790063894,547.2763636363635,0,"29,872,635 "
14:07:03,547.77,0.35832484454034963,547.3618181818182,0,"30,039,081 "
14:08:03,547.89,0.3667367826774186,547.4436363636364,0,"30,130,924 "
14:09:03,547.86,0.32944230360558235,547.5363636363636,0,"30,232,809 "
14:10:03,547.77,0.2851822673656788,547.6072727272727,0,"30,359,869 "
14:11:03,547.84,0.20436557747379952,547.6872727272728,0,"30,465,875 "
14:12:03,547.76,0.1535691084638476,547.7327272727274,0,"30,567,052 "
